"contract_id","name","avg_price","volume"
"ethereum:22c36bfdcef207f9c0cc941936eff94d4246d14a","Bored Ape Chemistry Club",62.16,1323
"ethereum:7a376c1f8edf7ba7eb94a7438a8313a17d830ff8","ProjectKevins",643.0,1286
"ethereum:2e541cec5cb41e7678ac3c8e91acb3fc1db0da07","For the Culture",1.85,1207
"ethereum:7a48e016122b4786e3b96414598fc608c8dc3ad4","Hype Pass",588.0,1176
"ethereum:9f9b2b8e268d06dc67f0f76627654b80e219e1d6","pieceofshit",1.53,1114
"ethereum:c5b52253f5225835cc81c52cdb3d6a22bc3b0c93","mcgoblintownwtf",4.69,1074
"ethereum:495f947276749ce646f68ac8c248420045cb7b5e","New 0x495f947276749Ce646f68AC8c248420045cb7b5eLock",9.61,1030
"ethereum:54616c0815c306fc22417b96282ca4aa6f47d357","troll-town.wtf",0.44,1027
"ethereum:809d8f2b12454fc07408d2479cf6dc701ecd5a9f","BBRC OFFICIAL - IVY BOYS",1.15,976
"ethereum:1485297e942ce64e0870ece60179dfda34b4c625","Moonrunners",1.35,975
"ethereum:bc578ecca2115dac0c93c08674edc0c7d01fe09c","InvisibleSociety",412.53,945
"ethereum:c7c962e44316e0c052448a0fdd1da15ea24fa9a9","Gossamer Seed",1.48,941
"ethereum:5af0d9827e0c53e4799bb226655a1de152a425a5","Milady",9.68,851
"ethereum:7cc7add921e2222738561d03c89589929cefcf21","TBAC",7.91,768
"ethereum:b4d06d46a8285f4ec79fd294f78a881799d8ced9","3Landers",9.06,752
"ethereum:19b86299c21505cdf59ce63740b240a9c822b5e4","DEGEN TOONZ",3.51,748
"ethereum:79fcdef22feed20eddacbb2587640e45491b757f","mfer",9.58,675
"ethereum:1a92f7381b9f03921564a437210bb9396471050c","Cool Cats",12.59,550
"ethereum:059edd72cd353df5106d2b9cc5ab83a52287ac3a","Art Blocks",94.35,541
"ethereum:9c8ff314c9bc7f6e59a9d9225fb22946427edc03","Nouns",160.0,536
"ethereum:d2f668a8461d6761115daf8aeb3cdf5f40c532c6","Karafuru",4.0,515
"ethereum:e0176ba60efddb29cac5b15338c9962daee9de0c","PREMINT Collector",2.1,511
"ethereum:28472a58a490c5e09a238847f66a68a47cc76f0f","adidas Originals Into the Metaverse",1.71,501
"ethereum:ba30e5f9bb24caa003e9f2f0497ad287fdf95623","BoredApeKennelClub",13.58,472
"ethereum:08d7c0242953446436f34b4c78fe9da38c73668d","PROOF Collective",77.98,426
"ethereum:86825dfca7a6224cfbd2da48e85df2fc3aa7c4b1","RTFKT - MNLTH",21.98,386
"ethereum:341a1c534248966c4b6afad165b98daed4b964ef","Murakami.Flowers Seed",19.06,384
"ethereum:5bd815fd6c096bab38b4c6553cfce3585194dff9","The Art of Seasons",2.49,373
"ethereum:e785e82358879f061bc3dcac6f0444462d4b5330","World Of Women",13.18,334
"ethereum:5cc5b05a8a13e3fbdb0bb9fccd98d38e50f90c38","Sandboxs LANDs",15.54,301
"ethereum:9378368ba6b85c1fba5b131b530f5f5bedf21a18","VeeFriends Series 2",2.52,298
"ethereum:59468516a8259058bad1ca5f8f4bff190d30e066","Invisible Friends",12.02,240
"polygon:2953399124f0cbb46d2cbacd8a89cf0599974963","ElitePunks Voxel Club",0.12,214
"ethereum:6d4bbc0387dd4759eee30f6a482ac6dc2df3facf","RTFKT X NIKE MONOLITH",3.71,193
"ethereum:a3aee8bce55beea1951ef834b99f3ac60d1abeeb","VeeFriends",20.2,176
"polygon:67f4732266c7300cca593c814d46bee72e40659f","ZED Horse",0.14,152
"ethereum:c36cf0cfcb5d905b8b513860db0cfe63f6cf9f5c","October London",1.36,131
