time,avg_price,max_price,min_price,trades,unique_buyers,volume
2022-01-26,0.002395,0.013370000000000002,0.001,14.0,9.0,0.033530000000000004
2022-01-27,0.00336,0.008,0.001,10.0,8.0,0.033600000000000005
2022-01-28,0.013155000000000002,0.395,0.0012000000000000001,34.0,10.0,0.44730000000000003
2022-01-29,0.0026660000000000004,0.005,0.0015,3.0,3.0,0.008
2022-01-30,0.0018000000000000002,0.002,0.0015,7.0,5.0,0.0126
2022-01-31,0.0033420000000000004,0.009000000000000001,0.0015,7.0,5.0,0.0234
2022-02-01,0.0016,0.0017000000000000001,0.0015,4.0,3.0,0.0064
2022-02-02,0.0059110000000000005,0.015000000000000001,0.0015,9.0,4.0,0.053200000000000004
2022-02-03,0.007537,0.04,0.0014000000000000002,8.0,8.0,0.060300000000000006
2022-02-04,0.084833,0.5,0.001,6.0,6.0,0.509
2022-02-05,0.001732,0.0035800000000000003,0.001,7.0,6.0,0.01213
2022-02-06,0.1395,1.1,0.0007000000000000001,8.0,6.0,1.116
2022-02-07,0.002153,0.008,0.001,14.0,11.0,0.030150000000000003
2022-02-08,0.342739,1.61,0.00125,24.0,15.0,8.225750000000001
2022-02-09,1.261678,4.840000000000001,0.0015,38.0,19.0,47.9438
2022-02-10,0.347384,1.61,0.001,26.0,11.0,9.032
2022-02-11,1.382749,7.000000000000001,0.0012000000000000001,31.0,18.0,42.86524
2022-02-12,0.008006000000000001,0.1,0.0012000000000000001,15.0,5.0,0.12010000000000001
2022-02-13,0.359341,4.5,0.00071,22.0,9.0,7.9055100000000005
2022-02-14,0.045071,0.2,0.0012000000000000001,7.0,6.0,0.3155
2022-02-15,0.001358,0.0015,0.001,12.0,7.0,0.016300000000000002
2022-02-16,0.12052900000000001,2.0,0.001,17.0,14.0,2.049
2022-02-17,0.0066690000000000004,0.012,0.001,13.0,8.0,0.0867
2022-02-18,0.0018430000000000002,0.0085,0.0012000000000000001,16.0,6.0,0.029500000000000002
2022-02-19,0.0021590000000000003,0.009000000000000001,0.0008500000000000001,30.0,9.0,0.06478
2022-02-20,0.0012660000000000002,0.0015,0.0009000000000000001,6.0,3.0,0.007600000000000001
2022-02-21,0.001409,0.0016,0.001,22.0,3.0,0.031000000000000003
2022-02-22,0.001098,0.0014000000000000002,0.00099,16.0,7.0,0.017576
2022-02-23,0.002,0.002,0.002,2.0,1.0,0.004
2022-02-24,0.009216,0.030000000000000002,0.001,12.0,4.0,0.1106
2022-02-25,0.0019000000000000002,0.0019000000000000002,0.0019000000000000002,2.0,1.0,0.0038000000000000004
2022-02-26,0.0013000000000000002,0.0013000000000000002,0.0013000000000000002,2.0,1.0,0.0026000000000000003
2022-02-28,0.0008030000000000001,0.0008500000000000001,0.000711,6.0,3.0,0.004822000000000001
2022-03-01,0.0044,0.007500000000000001,0.0013000000000000002,4.0,2.0,0.0176
2022-03-02,0.40545000000000003,0.81,0.0009000000000000001,4.0,2.0,1.6218000000000001
2022-03-03,0.0011040000000000002,0.0014000000000000002,0.0009000000000000001,44.0,7.0,0.048600000000000004
2022-03-05,0.0073820000000000005,0.054000000000000006,0.0012000000000000001,34.0,6.0,0.251
2022-03-06,0.0016,0.0025,0.0012000000000000001,12.0,6.0,0.019200000000000002
2022-03-07,0.0013750000000000001,0.0015,0.0012000000000000001,16.0,4.0,0.022000000000000002
2022-03-08,0.001466,0.0015,0.0014000000000000002,6.0,2.0,0.0088
2022-03-09,0.015000000000000001,0.02,0.01,4.0,2.0,0.060000000000000005
2022-03-10,0.429875,1.6162,0.0014000000000000002,8.0,4.0,3.439
2022-03-11,0.001366,0.0014000000000000002,0.0013000000000000002,6.0,1.0,0.0082
2022-03-12,0.00979,0.030000000000000002,0.0015,10.0,2.0,0.0979
2022-03-13,0.017730000000000003,0.1,0.0013000000000000002,20.0,4.0,0.3546
2022-03-14,0.0077,0.02,0.0014000000000000002,8.0,2.0,0.0616
2022-03-15,0.0015,0.0015,0.0015,4.0,2.0,0.006
2022-03-16,0.004912000000000001,0.015000000000000001,0.0014000000000000002,14.0,3.0,0.06878000000000001
2022-03-17,0.005211,0.08,0.0013000000000000002,56.0,2.0,0.29184000000000004
2022-03-18,0.003933,0.009000000000000001,0.0014000000000000002,6.0,2.0,0.023600000000000003
2022-03-19,0.003275,0.015000000000000001,0.0013000000000000002,16.0,6.0,0.052402000000000004
2022-03-20,0.0082,0.015000000000000001,0.0014000000000000002,4.0,2.0,0.0328
2022-03-21,0.00185,0.002,0.0017000000000000001,4.0,1.0,0.0074
2022-03-22,0.0032,0.005,0.0014000000000000002,4.0,2.0,0.0128
2022-03-23,0.0015,0.0017000000000000001,0.0014000000000000002,6.0,3.0,0.009000000000000001
2022-03-25,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-03-27,0.0014000000000000002,0.0014000000000000002,0.0014000000000000002,2.0,1.0,0.0028000000000000004
2022-03-28,0.0016,0.0016,0.0016,2.0,1.0,0.0032
2022-03-30,0.0013000000000000002,0.0013000000000000002,0.0013000000000000002,2.0,1.0,0.0026000000000000003
2022-03-31,0.0014000000000000002,0.0014000000000000002,0.0014000000000000002,2.0,1.0,0.0028000000000000004
2022-04-01,0.00125,0.0015,0.001,4.0,2.0,0.005
2022-04-02,0.001471,0.0015,0.001448,11.0,3.0,0.016184
2022-04-03,0.021959000000000003,0.2,0.0013000000000000002,20.0,3.0,0.43918
2022-04-04,0.00395,0.01,0.0013000000000000002,8.0,4.0,0.0316
2022-04-05,0.0014550000000000001,0.0015,0.0013000000000000002,12.0,5.0,0.01746
2022-04-06,0.0015040000000000001,0.0016970000000000002,0.00143,12.0,2.0,0.018054
2022-04-07,0.007,0.007,0.007,2.0,1.0,0.014
2022-04-08,0.001734,0.0025,0.001423,30.0,6.0,0.052026
2022-04-09,0.00143,0.00143,0.00143,2.0,1.0,0.00286
2022-04-10,0.0014700000000000002,0.0014700000000000002,0.0014700000000000002,2.0,1.0,0.0029400000000000003
2022-04-11,0.002808,0.019949,0.00143,34.0,5.0,0.09547800000000001
2022-04-12,0.0014500000000000001,0.0014500000000000001,0.0014500000000000001,2.0,1.0,0.0029000000000000002
2022-04-14,0.010755,0.0325,0.00143,7.0,3.0,0.07529000000000001
2022-04-15,0.001505,0.0016,0.0015,38.0,2.0,0.0572
2022-04-16,0.006350000000000001,0.05,0.0015,20.0,3.0,0.127
2022-04-17,0.0015,0.0015,0.0015,4.0,2.0,0.006
2022-04-18,0.001978,0.0055000000000000005,0.0015,48.0,3.0,0.09498000000000001
2022-04-19,0.0016500000000000002,0.0016500000000000002,0.0016500000000000002,8.0,1.0,0.013200000000000002
2022-04-20,0.007573000000000001,0.02,0.0015,26.0,6.0,0.19689800000000002
2022-04-21,0.003863,0.01,0.0015,26.0,5.0,0.10043800000000001
2022-04-22,0.001716,0.002,0.0015,12.0,3.0,0.0206
2022-04-23,0.008957000000000001,0.018000000000000002,0.00143,8.0,2.0,0.07166
2022-04-24,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-04-26,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-04-27,0.020219,0.387,0.0015,42.0,4.0,0.8492200000000001
2022-04-28,0.004666,0.011000000000000001,0.0015,6.0,3.0,0.028
2022-04-29,0.017833,0.14,0.0015,18.0,5.0,0.321
2022-05-01,0.0016970000000000002,0.0017000000000000001,0.0016890000000000002,8.0,2.0,0.013578000000000002
2022-05-02,0.00175,0.002,0.0015,4.0,2.0,0.007
2022-05-03,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-05-05,0.0015650000000000002,0.0017610000000000002,0.0015,8.0,3.0,0.012522
2022-05-06,0.0015,0.0015,0.0015,20.0,4.0,0.030000000000000002
2022-05-08,0.0015,0.0015,0.0015,4.0,2.0,0.006
2022-05-09,0.027357000000000003,0.069,0.0015,14.0,4.0,0.383
2022-05-10,0.0048790000000000005,0.005,0.0015,58.0,2.0,0.28300000000000003
2022-05-11,0.005,0.005,0.005,2.0,1.0,0.01
2022-05-12,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-05-13,0.0015,0.0015,0.0015,2.0,1.0,0.003
2022-05-14,0.063837,0.5,0.0015,16.0,4.0,1.0214
2022-05-15,0.0016860000000000002,0.007,0.0015,62.0,5.0,0.10455400000000001
2022-05-16,0.039466,0.1,0.0015,6.0,2.0,0.2368
2022-05-17,0.017125,0.060000000000000005,0.0015,8.0,4.0,0.137
2022-05-18,0.13345,0.25,0.016900000000000002,4.0,2.0,0.5338
2022-05-19,0.0038000000000000004,0.005,0.0026000000000000003,4.0,2.0,0.015200000000000002
2022-05-20,0.013500000000000002,0.018000000000000002,0.009000000000000001,4.0,1.0,0.054000000000000006
2022-05-23,0.011850000000000001,0.0222,0.0015,2.0,2.0,0.023700000000000002
2022-05-25,0.00205,0.0026000000000000003,0.0015,2.0,2.0,0.0041
